model,column,block,metric,value,ratio_to_base,n_windows,eval_seed
base,val_base,val,forecast/mae,0.222103551030159,1.0,9817,43
ft_0,val_base,val,forecast/mae,0.263406902551651,1.185964390618336,9817,43
ft_1,val_base,val,forecast/mae,0.3150513768196106,1.418488697539241,9817,43
ft_2,val_base,val,forecast/mae,0.2782782018184662,1.2529209935084709,9817,43
merged,val_base,val,forecast/mae,0.2522125542163849,1.1355629076913654,9817,43
base,val_base,val,forecast/mse,0.15420398116111755,1.0,9817,43
ft_0,val_base,val,forecast/mse,0.19840697944164276,1.2866527695827803,9817,43
ft_1,val_base,val,forecast/mse,0.21837255358695984,1.4161278583255044,9817,43
ft_2,val_base,val,forecast/mse,0.18816211819648743,1.2202156959870527,9817,43
merged,val_base,val,forecast/mse,0.16819337010383606,1.0907200244596922,9817,43
base,val_base,val,forecast/rmse,0.39268814746706776,1.0,9817,43
ft_0,val_base,val,forecast/rmse,0.44542898361202626,1.1343071760254275,9817,43
ft_1,val_base,val,forecast/rmse,0.4673034919481769,1.1900117051212162,9817,43
ft_2,val_base,val,forecast/rmse,0.43377657635756156,1.1046337383889073,9817,43
merged,val_base,val,forecast/rmse,0.41011385017313917,1.0443754231404012,9817,43
base,val_0,val,forecast/mae,0.4822668135166168,1.0,3193,43
ft_0,val_0,val,forecast/mae,0.4186834394931793,0.8681572684634941,3193,43
ft_1,val_0,val,forecast/mae,0.4300084710121155,0.8916401853914819,3193,43
ft_2,val_0,val,forecast/mae,0.4987218976020813,1.034120291142317,3193,43
merged,val_0,val,forecast/mae,0.4125208854675293,0.8553789601641657,3193,43
base,val_0,val,forecast/mse,1.2190507650375366,1.0,3193,43
ft_0,val_0,val,forecast/mse,1.0907083749771118,0.8947194048506479,3193,43
ft_1,val_0,val,forecast/mse,1.1643798351287842,0.9551528685459879,3193,43
ft_2,val_0,val,forecast/mse,1.1984790563583374,0.9831248137738007,3193,43
merged,val_0,val,forecast/mse,1.0747778415679932,0.8816514228879541,3193,43
base,val_0,val,forecast/rmse,1.1041063196257581,1.0,3193,43
ft_0,val_0,val,forecast/rmse,1.0443698458769823,0.9458960856514038,3193,43
ft_1,val_0,val,forecast/rmse,1.0790643331742478,0.9773192255071972,3193,43
ft_2,val_0,val,forecast/rmse,1.0947506822826545,0.991526506843766,3193,43
merged,val_0,val,forecast/rmse,1.0367149278215266,0.9389629507536248,3193,43
base,val_1,val,forecast/mae,0.5385167002677917,1.0,3193,43
ft_0,val_1,val,forecast/mae,0.5406186580657959,1.0039032360499849,3193,43
ft_1,val_1,val,forecast/mae,0.3545525074005127,0.6583872092067006,3193,43
ft_2,val_1,val,forecast/mae,0.32198968529701233,0.5979195912343933,3193,43
merged,val_1,val,forecast/mae,0.3462778925895691,0.6430216415152459,3193,43
base,val_1,val,forecast/mse,0.5591033101081848,1.0,3193,43
ft_0,val_1,val,forecast/mse,0.5305756330490112,0.9489760183075047,3193,43
ft_1,val_1,val,forecast/mse,0.2346382439136505,0.41966885130450887,3193,43
ft_2,val_1,val,forecast/mse,0.22690115869045258,0.4058304692321494,3193,43
merged,val_1,val,forecast/mse,0.24200133979320526,0.43283832418444945,3193,43
base,val_1,val,forecast/rmse,0.7477321111923607,1.0,3193,43
ft_0,val_1,val,forecast/rmse,0.7284062280410645,0.9741540013301307,3193,43
ft_1,val_1,val,forecast/rmse,0.48439471912238113,0.6478185326960851,3193,43
ft_2,val_1,val,forecast/rmse,0.4763414307935565,0.6370482471776759,3193,43
merged,val_1,val,forecast/rmse,0.49193631680656114,0.6579044947288698,3193,43
base,val_2,val,forecast/mae,0.34922555088996887,1.0,3193,43
ft_0,val_2,val,forecast/mae,0.321551114320755,0.920754834522594,3193,43
ft_1,val_2,val,forecast/mae,0.3527314066886902,1.0100389441430817,3193,43
ft_2,val_2,val,forecast/mae,0.2291371375322342,0.6561293609482453,3193,43
merged,val_2,val,forecast/mae,0.26516193151474,0.7592855987742003,3193,43
base,val_2,val,forecast/mse,0.22952648997306824,1.0,3193,43
ft_0,val_2,val,forecast/mse,0.21788635849952698,0.9492863264936998,3193,43
ft_1,val_2,val,forecast/mse,0.21556967496871948,0.9391930098962155,3193,43
ft_2,val_2,val,forecast/mse,0.10799684375524521,0.47052017293479786,3193,43
merged,val_2,val,forecast/mse,0.14414004981517792,0.6279887338149542,3193,43
base,val_2,val,forecast/rmse,0.4790892296567188,1.0,3193,43
ft_0,val_2,val,forecast/rmse,0.46678298865696355,0.974313258913015,3193,43
ft_1,val_2,val,forecast/rmse,0.4642948147122898,0.9691197087544012,3193,43
ft_2,val_2,val,forecast/rmse,0.3286287323945446,0.6859447302332731,3193,43
merged,val_2,val,forecast/rmse,0.37965780620866724,0.7924574018929688,3193,43
base,test,test,forecast/mae,0.412814199924469,1.0,57319,43
ft_0,test,test,forecast/mae,0.415296345949173,1.0060127438086144,57319,43
ft_1,test,test,forecast/mae,0.41048938035964966,0.9943683633817715,57319,43
